# mode   [cm-1]    [THz]      IR          Raman   depol.fact
    1     -0.00   -0.0000    0.0000         1.2121    0.7254
    2     -0.00   -0.0000    0.0000         1.1955    0.7500
    3      0.00    0.0000    0.0000         3.0349    0.0731
    4     13.94    0.4178    0.0002         4.8339    0.7500
    5     13.94    0.4178    0.0002         4.8339    0.7500
    6     27.14    0.8136    0.0001         0.4041    0.0148
    7     46.69    1.3999    0.0018        25.8849    0.7500
    8     46.69    1.3999    0.0018        25.8849    0.7500
    9     56.65    1.6984    0.0001        40.6353    0.7500
   10     56.65    1.6984    0.0001        40.6353    0.7500
   11    118.85    3.5630    0.0001       956.3764    0.1250
   12    126.76    3.8001    0.0015      1865.6713    0.1249
   13    181.69    5.4468    2.0199        49.2384    0.7500
   14    181.69    5.4468    2.0199        49.2384    0.7500
   15    203.12    6.0893    0.3836        56.4945    0.7500
   16    203.12    6.0893    0.3836        56.4945    0.7500
   17    204.46    6.1295    3.8494        71.4108    0.7500
   18    204.46    6.1295    3.8494        71.4108    0.7500
   19    208.90    6.2627    5.5802         6.0609    0.7500
   20    208.90    6.2627    5.5802         6.0609    0.7500
   21    219.50    6.5804    1.3951       909.1775    0.1134
   22    232.72    6.9766    0.5157        46.6135    0.0135
   23    273.21    8.1907    0.0979      1374.6050    0.6161
   24    300.39    9.0056    0.0000      2403.9666    0.4482
