# mode    freq(cm-1)    alpha    beta2    activity
001   262.37995  -36.5407292  13431.9054517  154108.4580769
002   235.52747   7.4903582  1213.0028102  11015.7656389
003   210.00967  -13.4885990  1215.8332194  16698.2361914
004   200.97592  -11.2502710  898.7048453  11986.5208304
005   190.82550  -0.0061823  59.5414277  416.7917139
006   190.81732  -0.0025872  59.5270732  416.6898137
007   178.53667  -0.0003358  11.6594394  81.6160809
008   178.53374   0.0015570  11.2983823  79.0887855
009   175.28603  -0.0013472  103.6181688  725.3272630
010   175.28027  -0.0026637  103.2980634  723.0867629
011   173.77307  -0.0048372   0.5654479   3.9591879
012   173.76688  -0.0054495   0.5952523   4.1681025
013   120.86774  -11.2407662  512.0138055  9270.0637083
014   110.53040   9.6286480  623.0046661  8533.0214616
015    44.83881   0.0054627  15.1810703  106.2688351
016    44.75805  -0.0049870  15.1402657  105.9829788
017    40.39336   0.7194439   5.1784268  59.5409661
018    35.27776   0.0014973   7.9163024  55.4142174
019    35.12833   0.0003523   7.9373114  55.5611853
020    20.55535  -0.0019081   1.4867541  10.4074423
021    20.37443  -0.0043921   1.4941849  10.4601624
